Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,56.040001,56.040001,56.040001,56.040001,54.721962,0
2020-03-23,54.490002,54.490002,54.490002,54.490002,53.208412,0
2020-03-24,59.639999,59.639999,59.639999,59.639999,58.237289,0
2020-03-25,60.169998,60.169998,60.169998,60.169998,59.048878,0
2020-03-26,63.910000,63.910000,63.910000,63.910000,62.719193,0
2020-03-27,61.759998,61.759998,61.759998,61.759998,60.609253,0
2020-03-30,63.709999,63.709999,63.709999,63.709999,62.522923,0
2020-03-31,62.750000,62.750000,62.750000,62.750000,61.580807,0
2020-04-01,59.830002,59.830002,59.830002,59.830002,58.715218,0
2020-04-02,61.060001,61.060001,61.060001,61.060001,59.922298,0
2020-04-03,60.049999,60.049999,60.049999,60.049999,58.931114,0
2020-04-06,64.349998,64.349998,64.349998,64.349998,63.150997,0
2020-04-07,64.320000,64.320000,64.320000,64.320000,63.121555,0
2020-04-08,66.639999,66.639999,66.639999,66.639999,65.398331,0
2020-04-09,67.830002,67.830002,67.830002,67.830002,66.566154,0
2020-04-13,67.040001,67.040001,67.040001,67.040001,65.790871,0
2020-04-14,69.050003,69.050003,69.050003,69.050003,67.763428,0
2020-04-15,67.440002,67.440002,67.440002,67.440002,66.183434,0
2020-04-16,67.769997,67.769997,67.769997,67.769997,66.507271,0
2020-04-17,69.709999,69.709999,69.709999,69.709999,68.411125,0
2020-04-20,68.519997,68.519997,68.519997,68.519997,67.243294,0
2020-04-21,66.430000,66.430000,66.430000,66.430000,65.192245,0
2020-04-22,67.919998,67.919998,67.919998,67.919998,66.654480,0
2020-04-23,67.970001,67.970001,67.970001,67.970001,66.703545,0
2020-04-24,68.919998,68.919998,68.919998,68.919998,67.635849,0
2020-04-27,70.160004,70.160004,70.160004,70.160004,68.852753,0
2020-04-28,69.900002,69.900002,69.900002,69.900002,68.597580,0
2020-04-29,71.930000,71.930000,71.930000,71.930000,70.589760,0
2020-04-30,71.070000,71.070000,71.070000,71.070000,69.745789,0
2020-05-01,68.989998,68.989998,68.989998,68.989998,67.704536,0
2020-05-04,69.309998,69.309998,69.309998,69.309998,68.018570,0
2020-05-05,69.970001,69.970001,69.970001,69.970001,68.666283,0
2020-05-06,69.519997,69.519997,69.519997,69.519997,68.224663,0
2020-05-07,70.449997,70.449997,70.449997,70.449997,69.137337,0
2020-05-08,71.790001,71.790001,71.790001,71.790001,70.452377,0
2020-05-11,71.769997,71.769997,71.769997,71.769997,70.432732,0
2020-05-12,70.209999,70.209999,70.209999,70.209999,68.901802,0
2020-05-13,68.839996,68.839996,68.839996,68.839996,67.557335,0
2020-05-14,69.620003,69.620003,69.620003,69.620003,68.322807,0
2020-05-15,69.980003,69.980003,69.980003,69.980003,68.676102,0
2020-05-18,72.360001,72.360001,72.360001,72.360001,71.011749,0
2020-05-19,71.599998,71.599998,71.599998,71.599998,70.265907,0
2020-05-20,72.879997,72.879997,72.879997,72.879997,71.522057,0
2020-05-21,72.400002,72.400002,72.400002,72.400002,71.051003,0
2020-05-22,72.629997,72.629997,72.629997,72.629997,71.276718,0
2020-05-26,73.639999,73.639999,73.639999,73.639999,72.267899,0
2020-05-27,74.800003,74.800003,74.800003,74.800003,73.406288,0
2020-05-28,74.529999,74.529999,74.529999,74.529999,73.141319,0
2020-05-29,74.889999,74.889999,74.889999,74.889999,73.494606,0
2020-06-01,75.290001,75.290001,75.290001,75.290001,73.887161,0
2020-06-02,75.919998,75.919998,75.919998,75.919998,74.505417,0
2020-06-03,77.070000,77.070000,77.070000,77.070000,75.633987,0
2020-06-04,76.820000,76.820000,76.820000,76.820000,75.388649,0
2020-06-05,78.849998,78.849998,78.849998,78.849998,77.380829,0
2020-06-08,79.919998,79.919998,79.919998,79.919998,78.430878,0
2020-06-09,79.160004,79.160004,79.160004,79.160004,77.685051,0
2020-06-10,78.610001,78.610001,78.610001,78.610001,77.145302,0
2020-06-11,73.889999,73.889999,73.889999,73.889999,72.513237,0
2020-06-12,74.940002,74.940002,74.940002,74.940002,73.543686,0
2020-06-15,75.709999,75.709999,75.709999,75.709999,74.299324,0
2020-06-16,77.160004,77.160004,77.160004,77.160004,75.722313,0
2020-06-17,76.809998,76.809998,76.809998,76.809998,75.378838,0
2020-06-18,76.879997,76.879997,76.879997,76.879997,75.447525,0
2020-06-19,76.879997,76.879997,76.879997,76.879997,75.447525,0
2020-06-22,76.980003,76.980003,76.980003,76.980003,75.545670,0
2020-06-23,77.279999,77.279999,77.279999,77.279999,75.840073,0
2020-06-24,74.870003,74.870003,74.870003,74.870003,73.798714,0
2020-06-25,75.760002,75.760002,75.760002,75.760002,74.675980,0
2020-06-26,73.949997,73.949997,73.949997,73.949997,72.891869,0
2020-06-29,75.089996,75.089996,75.089996,75.089996,74.015556,0
2020-06-30,76.260002,76.260002,76.260002,76.260002,75.168831,0
2020-07-01,76.610001,76.610001,76.610001,76.610001,75.513817,0
2020-07-02,76.980003,76.980003,76.980003,76.980003,75.878525,0
2020-07-06,78.169998,78.169998,78.169998,78.169998,77.051491,0
2020-07-07,77.309998,77.309998,77.309998,77.309998,76.203796,0
2020-07-08,77.959999,77.959999,77.959999,77.959999,76.844505,0
2020-07-09,77.500000,77.500000,77.500000,77.500000,76.391083,0
2020-07-10,78.339996,78.339996,78.339996,78.339996,77.219055,0
2020-07-13,77.449997,77.449997,77.449997,77.449997,76.341797,0
2020-07-14,78.510002,78.510002,78.510002,78.510002,77.386627,0
2020-07-15,79.440002,79.440002,79.440002,79.440002,78.303329,0
2020-07-16,79.120003,79.120003,79.120003,79.120003,77.987907,0
2020-07-17,79.400002,79.400002,79.400002,79.400002,78.263901,0
2020-07-20,80.080002,80.080002,80.080002,80.080002,78.934174,0
2020-07-21,80.239998,80.239998,80.239998,80.239998,79.091881,0
2020-07-22,80.690002,80.690002,80.690002,80.690002,79.535439,0
2020-07-23,79.769997,79.769997,79.769997,79.769997,78.628593,0
2020-07-24,79.169998,79.169998,79.169998,79.169998,78.037186,0
2020-07-27,79.849998,79.849998,79.849998,79.849998,78.707451,0
2020-07-28,79.279999,79.279999,79.279999,79.279999,78.145615,0
2020-07-29,80.379997,80.379997,80.379997,80.379997,79.229874,0
2020-07-30,80.120003,80.120003,80.120003,80.120003,78.973595,0
2020-07-31,80.570000,80.570000,80.570000,80.570000,79.417152,0
2020-08-03,81.269997,81.269997,81.269997,81.269997,80.107132,0
2020-08-04,81.570000,81.570000,81.570000,81.570000,80.402840,0
2020-08-05,82.180000,82.180000,82.180000,82.180000,81.004120,0
2020-08-06,82.589996,82.589996,82.589996,82.589996,81.408241,0
2020-08-07,82.669998,82.669998,82.669998,82.669998,81.487106,0
2020-08-10,82.860001,82.860001,82.860001,82.860001,81.674385,0
2020-08-11,82.199997,82.199997,82.199997,82.199997,81.023827,0
2020-08-12,83.309998,83.309998,83.309998,83.309998,82.117950,0
2020-08-13,83.239998,83.239998,83.239998,83.239998,82.048950,0
2020-08-14,83.199997,83.199997,83.199997,83.199997,82.009521,0
2020-08-17,83.559998,83.559998,83.559998,83.559998,82.364372,0
2020-08-18,83.699997,83.699997,83.699997,83.699997,82.502357,0
2020-08-19,83.349998,83.349998,83.349998,83.349998,82.157379,0
2020-08-20,83.610001,83.610001,83.610001,83.610001,82.413643,0
2020-08-21,83.800003,83.800003,83.800003,83.800003,82.600937,0
2020-08-24,84.589996,84.589996,84.589996,84.589996,83.379631,0
2020-08-25,84.889999,84.889999,84.889999,84.889999,83.675331,0
2020-08-26,85.680000,85.680000,85.680000,85.680000,84.454041,0
2020-08-27,85.879997,85.879997,85.879997,85.879997,84.651161,0
2020-08-28,86.470001,86.470001,86.470001,86.470001,85.232735,0
2020-08-31,86.349998,86.349998,86.349998,86.349998,85.114456,0
2020-09-01,87.080002,87.080002,87.080002,87.080002,85.834007,0
2020-09-02,88.269997,88.269997,88.269997,88.269997,87.006973,0
2020-09-03,85.139999,85.139999,85.139999,85.139999,83.921761,0
2020-09-04,84.419998,84.419998,84.419998,84.419998,83.212059,0
2020-09-08,82.029999,82.029999,82.029999,82.029999,80.856262,0
2020-09-09,83.690002,83.690002,83.690002,83.690002,82.492516,0
2020-09-10,82.320000,82.320000,82.320000,82.320000,81.142113,0
2020-09-11,82.300003,82.300003,82.300003,82.300003,81.122398,0
2020-09-14,83.599998,83.599998,83.599998,83.599998,82.403801,0
2020-09-15,84.080002,84.080002,84.080002,84.080002,82.876938,0
2020-09-16,83.800003,83.800003,83.800003,83.800003,82.600937,0
2020-09-17,83.089996,83.089996,83.089996,83.089996,81.901100,0
2020-09-18,82.309998,82.309998,82.309998,82.309998,81.132256,0
2020-09-21,81.309998,81.309998,81.309998,81.309998,80.146553,0
2020-09-22,82.110001,82.110001,82.110001,82.110001,80.935120,0
2020-09-23,80.110001,80.110001,80.110001,80.110001,78.963737,0
2020-09-24,79.959999,79.959999,79.959999,79.959999,79.137917,0
2020-09-25,81.300003,81.300003,81.300003,81.300003,80.464157,0
2020-09-28,82.680000,82.680000,82.680000,82.680000,81.829956,0
2020-09-29,82.309998,82.309998,82.309998,82.309998,81.463760,0
2020-09-30,82.940002,82.940002,82.940002,82.940002,82.087296,0
2020-10-01,83.570000,83.570000,83.570000,83.570000,82.710815,0
2020-10-02,82.889999,82.889999,82.889999,82.889999,82.037796,0
2020-10-05,84.449997,84.449997,84.449997,84.449997,83.581764,0
2020-10-06,83.400002,83.400002,83.400002,83.400002,82.542557,0
2020-10-07,84.879997,84.879997,84.879997,84.879997,84.007339,0
2020-10-08,85.589996,85.589996,85.589996,85.589996,84.710037,0
2020-10-09,86.320000,86.320000,86.320000,86.320000,85.432533,0
2020-10-12,87.589996,87.589996,87.589996,87.589996,86.689484,0
2020-10-13,87.139999,87.139999,87.139999,87.139999,86.244102,0
2020-10-14,86.580002,86.580002,86.580002,86.580002,85.689857,0
2020-10-15,86.529999,86.529999,86.529999,86.529999,85.640381,0
2020-10-16,86.489998,86.489998,86.489998,86.489998,85.600792,0
2020-10-19,85.160004,85.160004,85.160004,85.160004,84.284470,0
2020-10-20,85.480003,85.480003,85.480003,85.480003,84.601173,0
2020-10-21,85.209999,85.209999,85.209999,85.209999,84.333954,0
2020-10-22,85.760002,85.760002,85.760002,85.760002,84.878296,0
2020-10-23,86.099998,86.099998,86.099998,86.099998,85.214798,0
2020-10-26,84.480003,84.480003,84.480003,84.480003,83.611458,0
2020-10-27,84.190002,84.190002,84.190002,84.190002,83.324440,0
2020-10-28,81.330002,81.330002,81.330002,81.330002,80.493843,0
2020-10-29,82.260002,82.260002,82.260002,82.260002,81.414276,0
2020-10-30,81.160004,81.160004,81.160004,81.160004,80.325592,0
2020-11-02,82.180000,82.180000,82.180000,82.180000,81.335098,0
2020-11-03,83.760002,83.760002,83.760002,83.760002,82.898857,0
2020-11-04,85.510002,85.510002,85.510002,85.510002,84.630867,0
2020-11-05,87.290001,87.290001,87.290001,87.290001,86.392563,0
2020-11-06,87.230003,87.230003,87.230003,87.230003,86.333183,0
2020-11-09,88.199997,88.199997,88.199997,88.199997,87.293205,0
2020-11-10,88.160004,88.160004,88.160004,88.160004,87.253624,0
2020-11-11,88.839996,88.839996,88.839996,88.839996,87.926620,0
2020-11-12,87.970001,87.970001,87.970001,87.970001,87.065575,0
2020-11-13,89.180000,89.180000,89.180000,89.180000,88.263138,0
2020-11-16,90.279999,90.279999,90.279999,90.279999,89.351830,0
2020-11-17,90.070000,90.070000,90.070000,90.070000,89.143982,0
2020-11-18,89.160004,89.160004,89.160004,89.160004,88.243340,0
2020-11-19,89.660004,89.660004,89.660004,89.660004,88.738197,0
2020-11-20,89.180000,89.180000,89.180000,89.180000,88.263138,0
2020-11-23,89.889999,89.889999,89.889999,89.889999,88.965836,0
2020-11-24,91.290001,91.290001,91.290001,91.290001,90.351440,0
2020-11-25,91.239998,91.239998,91.239998,91.239998,90.301956,0
2020-11-27,91.580002,91.580002,91.580002,91.580002,90.638458,0
2020-11-30,91.059998,91.059998,91.059998,91.059998,90.123810,0
2020-12-01,91.989998,91.989998,91.989998,91.989998,91.044243,0
2020-12-02,92.089996,92.089996,92.089996,92.089996,91.143204,0
2020-12-03,92.230003,92.230003,92.230003,92.230003,91.281784,0
2020-12-04,93.190002,93.190002,93.190002,93.190002,92.231903,0
2020-12-07,93.099998,93.099998,93.099998,93.099998,92.142830,0
2020-12-08,93.480003,93.480003,93.480003,93.480003,92.518921,0
2020-12-09,92.620003,92.620003,92.620003,92.620003,91.667770,0
2020-12-10,92.760002,92.760002,92.760002,92.760002,91.806328,0
2020-12-11,92.589996,92.589996,92.589996,92.589996,91.638069,0
2020-12-14,92.330002,92.330002,92.330002,92.330002,91.380753,0
2020-12-15,93.570000,93.570000,93.570000,93.570000,92.607994,0
2020-12-16,93.690002,93.690002,93.690002,93.690002,92.726768,0
2020-12-17,94.419998,94.419998,94.419998,94.419998,93.449257,0
2020-12-18,94.209999,94.209999,94.209999,94.209999,93.241417,0
2020-12-21,93.930000,93.930000,93.930000,93.930000,92.964294,0
2020-12-22,93.949997,93.949997,93.949997,93.949997,92.984093,0
2020-12-23,93.660004,93.660004,93.660004,93.660004,93.071548,0
2020-12-24,93.910004,93.910004,93.910004,93.910004,93.319977,0
2020-12-28,94.400002,94.400002,94.400002,94.400002,93.806892,0
2020-12-29,94.029999,94.029999,94.029999,94.029999,93.439217,0
2020-12-30,94.279999,94.279999,94.279999,94.279999,93.687645,0
2020-12-31,94.739998,94.739998,94.739998,94.739998,94.144753,0
2021-01-04,93.349998,93.349998,93.349998,93.349998,92.763481,0
2021-01-05,94.139999,94.139999,94.139999,94.139999,93.548523,0
2021-01-06,94.930000,94.930000,94.930000,94.930000,94.333565,0
2021-01-07,96.489998,96.489998,96.489998,96.489998,95.883759,0
2021-01-08,96.949997,96.949997,96.949997,96.949997,96.340866,0
2021-01-11,96.430000,96.430000,96.430000,96.430000,95.824135,0
2021-01-12,96.730003,96.730003,96.730003,96.730003,96.122253,0
2021-01-13,96.820000,96.820000,96.820000,96.820000,96.211685,0
2021-01-14,96.709999,96.709999,96.709999,96.709999,96.102371,0
2021-01-15,95.949997,95.949997,95.949997,95.949997,95.347145,0
2021-01-19,96.779999,96.779999,96.779999,96.779999,96.171936,0
2021-01-20,98.019997,98.019997,98.019997,98.019997,97.404137,0
2021-01-21,97.930000,97.930000,97.930000,97.930000,97.314713,0
2021-01-22,97.790001,97.790001,97.790001,97.790001,97.175598,0
2021-01-25,98.040001,98.040001,98.040001,98.040001,97.424026,0
2021-01-26,97.739998,97.739998,97.739998,97.739998,97.125900,0
2021-01-27,95.209999,95.209999,95.209999,95.209999,94.611801,0
2021-01-28,96.180000,96.180000,96.180000,96.180000,95.575706,0
2021-01-29,94.430000,94.430000,94.430000,94.430000,93.836708,0
2021-02-01,96.050003,96.050003,96.050003,96.050003,95.446526,0
2021-02-02,97.449997,97.449997,97.449997,97.449997,96.837723,0
2021-02-03,97.580002,97.580002,97.580002,97.580002,96.966919,0
2021-02-04,98.750000,98.750000,98.750000,98.750000,98.129555,0
2021-02-05,99.320000,99.320000,99.320000,99.320000,98.695976,0
2021-02-08,100.239998,100.239998,100.239998,100.239998,99.610199,0
2021-02-09,100.260002,100.260002,100.260002,100.260002,99.630074,0
2021-02-10,100.209999,100.209999,100.209999,100.209999,99.580391,0
